	1	2	3	4	5	6	7	8	9	10
SPSQ_biopsy3_RA_s_024um_00054_00091-1	0.16194773788830738	0.40866448147515494	0.2289319421271801	0.0	0.027495510217954867	0.0	0.2523517606886064	0.015710913530329038	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00173_00179-1	0.6226896676030318	0.01628014795940348	0.3505825478616626	0.0	0.021901656229383462	0.0	0.019513347012818864	0.011620283773685371	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00065_00215-1	0.16672625864005858	0.0	0.2203095816404176	0.1210275089613109	0.0	0.044086499245014586	0.11106119122410839	0.028615572858382027	0.06346094516969313	0.11062841603411008
SPSQ_biopsy3_RA_s_024um_00106_00195-1	0.0	0.0	0.0	0.0	0.20834035123438244	0.03399220135088063	0.0	0.6883771061697121	0.09131631494601783	0.03584540071346213
SPSQ_biopsy3_RA_s_024um_00126_00104-1	0.15180993585742414	0.032308621638801556	0.40011448310454584	0.047920413849305045	0.1012302291197486	0.31037805767014787	0.027374533676659676	0.00838505704177635	0.01003860341247622	0.0
SPSQ_biopsy3_RA_s_024um_00142_00146-1	0.09094568106609693	0.0	0.5247081406603838	0.0	0.028786185983006102	0.3990976138677862	0.0	0.01718061982270526	0.0	0.0021416265328720713
SPSQ_biopsy3_RA_s_024um_00066_00155-1	0.04066125702621939	0.05020189102374184	0.13958408311186266	0.5005554290528248	0.013350837200700539	0.04517513578200161	0.06834961615856172	0.07153480005846771	0.010799587840799742	0.021056317882443307
SPSQ_biopsy3_RA_s_024um_00110_00039-1	0.0	0.0	0.27360343326191955	0.030115045842191348	0.10412827906495495	0.47675895097257653	0.03509232323903595	0.004780382646034169	0.004551512746667928	0.0
SPSQ_biopsy3_RA_s_024um_00132_00155-1	0.10465666037450383	0.038803161667054706	0.5422148747736313	0.03548111433957011	0.011130447243727479	0.0885781680375795	0.06730203220686462	0.020668801680606884	0.0051691179430221924	0.0
SPSQ_biopsy3_RA_s_024um_00051_00112-1	0.06294113792823205	0.5026610882899473	0.24175706794938723	0.02555650948432482	0.12681770581834392	0.0	0.06892517061428716	0.023387676389782244	0.0008000990389831668	0.007163009585035485
SPSQ_biopsy3_RA_s_024um_00096_00172-1	0.3206045233233973	0.23617845952853742	0.05752265440241694	0.032697940276274165	0.02998199941188751	0.2168189769372553	0.04072044011660542	0.021814837662540488	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00150_00184-1	0.48508439260674496	0.0	0.5015115432740058	0.0	0.019995290531167074	0.0	0.03499457806411369	0.0004729365550628282	0.0	0.009300004626386731
SPSQ_biopsy3_RA_s_024um_00136_00157-1	0.0	0.0018154828834872256	0.5251963881284931	0.04640987372131448	0.03951270894524337	0.15924751472252746	0.11438983591760525	0.06378453112734787	0.014181039279423937	0.004760574407229775
SPSQ_biopsy3_RA_s_024um_00106_00126-1	0.47409103468244235	0.061237966729728845	0.24216250215662274	0.0	0.06951437219259435	0.03676864924131534	0.06708095613478703	0.007958697963114164	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00068_00076-1	0.0	0.09009272481599051	0.09613874135005149	0.06508181727307687	0.7012620139639258	0.0	0.0052986298433110625	0.0	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00062_00070-1	0.09458618823211146	0.5721510212952442	0.15690687976864728	0.0	0.025440360613596273	0.054568711861989895	0.05138040279497239	0.010099133313459532	0.004854431418752371	0.0010709493809919705
SPSQ_biopsy3_RA_s_024um_00083_00240-1	0.096849754495961	0.0	0.2644572601119557	0.3702647744003245	0.009855005274585908	0.0	0.06463358753962624	0.06280786428415253	0.024571956954008344	0.0031925540418949283
SPSQ_biopsy3_RA_s_024um_00074_00107-1	0.08976881512761539	0.4509877816904561	0.0011685802201341804	0.037115175905719125	0.0	0.05738596056071163	0.24167777237796814	0.0	0.015351283561021714	0.0
SPSQ_biopsy3_RA_s_024um_00129_00172-1	0.0	0.2857301636579594	0.053951557270700695	0.07217051171873934	0.29646041345050145	0.07909262755450434	0.15168248095324316	0.009712304727720033	0.016354888509183402	0.016750763149368155
SPSQ_biopsy3_RA_s_024um_00164_00166-1	0.0	0.0	0.0	0.018539553129629027	0.766169768609566	0.0	0.0	0.19178271071650044	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00094_00206-1	0.16613018228598683	0.35842727730502244	0.1167654195993673	0.0	0.025186195219141044	0.13238075972153676	0.04975715243646881	0.03404186379369623	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00076_00104-1	0.11005452206219546	0.4230678853760248	0.10850133747276398	0.0187421597956772	0.006238442065088647	0.13048722834433063	0.07689962596832936	0.011616281594435032	0.01028906904212655	0.012881610059106005
SPSQ_biopsy3_RA_s_024um_00102_00179-1	0.36240337089152513	0.0902106251328527	0.0	0.024277786390514852	0.0	0.36601864900867115	0.12916649815392062	0.0	0.0	0.02159600575924066
SPSQ_biopsy3_RA_s_024um_00098_00150-1	0.11569065520825701	0.09821344511088473	0.1730529661003277	0.02133585972378505	0.17307991750239096	0.0	0.5417428958841374	0.002446836641118964	0.012485939178828863	0.007739697307736326
SPSQ_biopsy3_RA_s_024um_00140_00144-1	0.05690331068531278	0.0	0.3463915090802271	0.0	0.03054385407582158	0.0937274859112837	0.23767446394859087	0.09014688250363434	0.03171001720439153	0.0243986260082022
SPSQ_biopsy3_RA_s_024um_00070_00208-1	0.013186456101363537	0.0	0.48599506374922	0.17523647917186863	0.0	0.14417726163542668	0.14796139329216942	0.017904719271497394	0.00625587333165815	0.015213306719446037
SPSQ_biopsy3_RA_s_024um_00184_00087-1	0.0	0.0	0.0	0.16564122025187186	0.010694340867576119	0.06480778081449243	0.0076281431990645075	0.19717170787944108	0.5560339174314175	0.005563330546923035
SPSQ_biopsy3_RA_s_024um_00125_00085-1	0.0	0.025584839228927674	0.0	0.16871213365281806	0.6987087564447546	0.03417821124340918	0.0	0.051715518607713895	0.031321440980515744	0.0144832644972101
SPSQ_biopsy3_RA_s_024um_00059_00094-1	0.11644741959228185	0.6835032875660128	0.07148516734020315	0.0	0.013023469114227205	0.018156096710860464	0.07076239482566485	0.009715417482830948	0.0005870395473156258	0.006137649981031183
SPSQ_biopsy3_RA_s_024um_00163_00087-1	0.0	0.0	0.0	0.49831327489688854	0.31229784145523504	0.0	0.0623247330977971	0.0	0.2279634796891564	0.05679627208422556
SPSQ_biopsy3_RA_s_024um_00052_00121-1	0.11270955189952381	0.6072545034032164	0.14648457570849666	0.00312826336814688	0.011616337124745576	0.02189419080040438	0.08813794433035588	0.01432166049146862	0.0	0.009218744551073327
SPSQ_biopsy3_RA_s_024um_00192_00090-1	0.016321309313715053	0.0	0.0	0.0	0.028161511334252362	0.0	0.0	0.13538949514696225	0.9397980458336285	0.0
SPSQ_biopsy3_RA_s_024um_00077_00104-1	0.19077021660519808	0.3085639982863513	0.025643672231250626	0.04086003917705718	0.0	0.12852964066873998	0.1403656048407752	0.0	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00159_00061-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09156017458459838	1.325484395677283	0.0
SPSQ_biopsy3_RA_s_024um_00097_00180-1	0.4280739010159782	0.03232410076531552	0.11445908538835747	0.042019954722323186	0.0	0.24245927390801364	0.032801616508389565	0.0	0.009787543271488756	0.0
SPSQ_biopsy3_RA_s_024um_00224_00164-1	0.0	0.0	0.0	0.0	1.0667873477801664	0.0	0.0	0.033706756707517695	0.0	0.0
SPSQ_biopsy3_RA_s_024um_00215_00166-1	0.17540261417787664	0.23942915767604253	0.041554636501112095	0.047407554586326645	0.1076127816788605	0.0	0.298794330199468	0.09186789697333962	0.013023734690489727	0.0
