	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
pNA_s_024um_00115_00045-1	0.24495254	0.027156858	0.002011427	0.20791484	0.025313264	0.29796043	0.13337918	0.026571656	1.697855e-09	9.817949e-09	0.01621323	4.1643758e-05	0.04293645	0.011496771	0.1212612
pNA_s_024um_00063_00029-1	0.0010182135	0.10583014	0.3331624	0.4052238	0.0014836991	0.09976363	4.112902e-14	9.448033e-19	1.3224321e-15	7.0826096e-15	0.005657975	0.009011367	5.732696e-12	9.867358e-09	0.049158555
pNA_s_024um_00071_00165-1	2.799706e-07	0.36624485	2.6521291e-05	0.005559989	2.0767472e-09	6.1825293e-22	5.778777e-25	0.00022096901	1.000774e-15	0.34304458	4.260815e-09	3.4270622e-06	1.10109394e-10	1.4641075e-12	1.1063679e-05
pNA_s_024um_00112_00005-1	1.0087294e-13	0.5839494	0.24761611	0.00010640774	5.885224e-07	0.10944234	1.5009792e-21	0.0008088911	2.2100098e-13	2.872315e-19	0.0036386214	4.2218797e-08	7.02108e-10	0.06900769	2.5679255e-13
pNA_s_024um_00125_00206-1	1.0494211e-12	0.042492524	4.542116e-08	0.4498131	0.11800712	0.08325185	6.1833196e-09	1.3746329e-09	5.8007404e-11	6.4158246e-07	4.9890655e-06	0.3175747	3.8980066e-10	1.3108411e-13	4.268801e-15
pNA_s_024um_00110_00049-1	0.14524925	6.584861e-13	0.20879422	7.004284e-05	8.110186e-07	0.028748006	0.034541037	2.999889e-24	0.06532876	0.07741731	0.00011357329	2.161484e-12	1.1461617e-17	1.9337417e-19	0.35935834
pNA_s_024um_00082_00155-1	1.0869842e-31	0.24128708	0.099267475	0.034088306	0.10963901	3.334574e-14	1.689946e-29	8.003068e-14	2.5763854e-20	2.5021358e-38	0.0035333326	0.08183426	7.599735e-39	4.865668e-21	0.00028503643
pNA_s_024um_00142_00054-1	0.20638102	0.028157027	0.19234136	0.03501708	0.18510003	0.10948967	2.1396371e-09	0.010001976	5.4445537e-10	0.023467373	0.0005762638	0.11303433	0.0315051	2.1422329e-10	0.03976066
pNA_s_024um_00195_00221-1	0.068851866	0.08309745	0.13303937	0.526726	0.2205147	0.049911942	0.014334765	5.5417984e-12	3.269994e-10	7.1540903e-12	0.00047751548	0.00036622665	0.0031295766	1.0530718e-08	3.6181227e-10
pNA_s_024um_00110_00009-1	0.050185148	0.18596739	2.427667e-05	0.36956736	9.782704e-16	4.1382736e-28	6.55512e-25	8.315813e-09	8.3274744e-21	0.12029623	1.7565456e-16	9.175952e-21	0.040404893	0.012123238	7.088162e-28
pNA_s_024um_00140_00148-1	0.11332005	0.112598054	0.4353885	0.0442105	0.004598489	0.007957691	8.078475e-16	3.6406753e-17	3.257546e-12	4.918459e-11	0.0069243913	0.11481305	5.9812868e-05	0.04403714	4.8777155e-10
pNA_s_024um_00066_00225-1	0.1603145	1.4049713e-05	9.88735e-07	8.003231e-12	0.17158455	0.020783193	8.79739e-20	0.16761811	0.14175884	1.0924526e-15	1.272973e-05	2.5909806e-08	3.474509e-17	0.00050934136	5.722031e-20
pNA_s_024um_00125_00016-1	2.6599208e-21	0.43013582	2.0051793e-05	0.20201662	0.032055974	1.5071207e-12	2.2432153e-26	0.02643951	5.5903054e-28	1.836786e-24	0.17181401	4.4855933e-10	0.0897404	7.7816305e-20	4.7235e-12
pNA_s_024um_00046_00150-1	0.0005333691	0.066003196	0.3271343	0.16898546	0.090357095	0.045133453	0.07922285	1.9515387e-06	1.9931105e-12	0.06873196	0.12228342	0.0005617774	0.028848346	0.048221417	3.1890547e-06
pNA_s_024um_00169_00076-1	0.03812937	0.15445217	0.0011349719	0.50149566	0.081245095	0.031510618	1.4164427e-12	0.053569365	1.2333168e-06	4.1351004e-06	8.856476e-07	0.18172273	5.857221e-05	0.027746864	1.47694905e-08
pNA_s_024um_00113_00103-1	1.1433568e-10	0.025981536	0.33768365	0.111822136	0.26830888	0.10838582	1.8202014e-08	0.08021117	5.4511686e-15	5.9312075e-09	0.0634911	0.015876863	1.5551284e-10	1.2107062e-05	1.5627055e-13
pNA_s_024um_00078_00091-1	4.004361e-05	0.15804611	0.45639047	0.034778584	0.09877515	0.0006512125	3.8468449e-16	2.6548345e-22	0.033909287	0.0387195	1.7937086e-06	0.00016955852	1.7888965e-10	0.03802887	1.2134153e-19
pNA_s_024um_00271_00157-1	0.4014902	1.3563901e-08	4.8106637e-14	9.988559e-11	1.595042e-14	0.3956023	0.14943308	5.3785026e-08	2.9286487e-10	0.05039104	1.03565385e-11	0.042178243	0.0012759765	0.009395912	1.9480003e-11
pNA_s_024um_00100_00232-1	0.14236	0.4996756	1.3432117e-10	2.2109278e-07	4.0000396e-14	3.279409e-27	1.5612316e-24	0.033077877	5.698714e-23	4.2200903e-24	4.822072e-18	0.14748761	6.449979e-19	3.9545817e-21	0.07604931
pNA_s_024um_00133_00241-1	4.5058157e-05	0.4092062	0.19827297	0.12536548	1.9922e-06	0.038783602	0.026364923	0.0008195428	0.003185556	3.6967256e-09	0.04983681	0.0005397965	0.025980057	0.06291984	2.320596e-13
pNA_s_024um_00202_00259-1	0.8698361	2.201853e-09	0.12916629	3.4125052e-05	0.07272088	0.030179624	8.465249e-05	0.013097473	0.025096303	0.027694667	6.097119e-08	0.058272768	0.0067982785	2.2898726e-06	3.3351423e-08
pNA_s_024um_00064_00214-1	0.3466154	3.209206e-33	7.0251464e-34	0.39980552	1.4e-43	4.71705e-40	1.3431013e-35	0.33507806	2.0198235e-15	0.12323787	1e-44	3.980099e-20	2.9920988e-28	1.0988456e-22	1.9789e-41
pNA_s_024um_00097_00200-1	0.17231187	1.8428853e-09	1.9744723e-06	2.0458872e-08	0.13427006	2.6910072e-33	8.88364e-33	0.5210016	1.8423894e-09	9.554916e-14	1.1845249e-08	8.994987e-21	1.791921e-06	4.967664e-22	8.626933e-23
pNA_s_024um_00242_00226-1	0.82579195	2.7220315e-07	1.44103e-06	1.6531786e-07	8.451433e-06	0.13307196	5.354603e-15	1.7853905e-13	8.433152e-20	6.2118144e-13	0.025812138	9.336399e-10	1.7976514e-08	0.016598916	0.048355218
pNA_s_024um_00242_00114-1	0.3647926	2.7517275e-10	0.13292566	7.060126e-06	0.018658346	0.2106787	1.7929352e-08	0.0046169623	3.9358057e-13	0.18792295	8.262573e-07	1.450058e-05	0.022485204	2.2402162e-15	5.671488e-07
pNA_s_024um_00233_00237-1	0.8183325	0.0008928161	1.5412073e-05	1.1066557e-05	2.6510455e-11	0.07983205	6.58742e-07	0.03842702	0.08509367	0.016301438	3.2495828e-07	0.08345027	1.1302233e-07	0.060313184	4.8891625e-08
pNA_s_024um_00165_00239-1	0.0027447108	0.115308195	0.18635689	0.14706077	0.3075721	0.010365965	0.028122457	5.498552e-20	2.4860389e-19	0.0037432036	0.124811195	1.6111198e-10	7.038095e-11	8.477894e-10	4.1602675e-15
pNA_s_024um_00158_00090-1	0.010651258	1.5743606e-11	0.3442937	0.008637584	0.20395641	4.947237e-09	0.024379637	1.03132874e-23	1.0172505e-18	0.04500049	0.07935018	0.0774256	0.025251253	1.7633802e-17	6.766785e-10
